n,hr_com_size,lr_com_size,lr_prop_per_com,degree_dist,deg_dist_param,com_dist_param,max_vaccine_threshold,vacc_strategy,seed,end,peak,peak_hr,peak_lr,dead,dead_hr,dead_lr,rec,rec_hr,rec_lr,vacc,vacc_hr,vacc_lr,imu,imu_hr,imu_lr,never_v,never_v_hr,never_v_lr
500,0.05,0.2,0.05,power_law,2.0,20,0.5,3,1,156,0.146,0.124,0.032,0.024,0.024,0.0,0.406,0.294,0.112,0.386,0.278,0.108,0.792,0.5720000000000001,0.22,0.184,0.156,0.028
500,0.05,0.2,0.05,power_law,2.0,20,0.5,3,2,170,0.152,0.118,0.062,0.032,0.032,0.0,0.45,0.3,0.15,0.36,0.276,0.084,0.81,0.5760000000000001,0.23399999999999999,0.158,0.138,0.02
500,0.05,0.2,0.05,power_law,2.0,20,0.5,4,0,138,0.312,0.212,0.106,0.038,0.036,0.002,0.61,0.398,0.212,0.276,0.25,0.026,0.886,0.648,0.238,0.076,0.064,0.012
500,0.05,0.2,0.05,power_law,2.0,20,0.5,4,1,151,0.268,0.178,0.09,0.03,0.03,0.0,0.586,0.38,0.206,0.294,0.268,0.026,0.8799999999999999,0.648,0.23199999999999998,0.09,0.074,0.016
500,0.05,0.2,0.05,power_law,2.0,20,0.5,4,2,145,0.22,0.15,0.082,0.036,0.036,0.0,0.476,0.286,0.19,0.346,0.306,0.04,0.822,0.592,0.23,0.142,0.118,0.024
500,0.05,0.2,0.05,power_law,2.0,20,0.5,5,0,208,0.124,0.094,0.038,0.028,0.026,0.002,0.372,0.238,0.134,0.46,0.364,0.096,0.8320000000000001,0.602,0.23,0.14,0.12,0.02
500,0.05,0.2,0.05,power_law,2.0,20,0.5,5,1,171,0.116,0.1,0.032,0.018,0.018,0.0,0.452,0.334,0.118,0.398,0.286,0.112,0.8500000000000001,0.62,0.22999999999999998,0.132,0.114,0.018
500,0.05,0.2,0.05,power_law,2.0,20,0.5,5,2,165,0.166,0.128,0.044,0.022,0.022,0.0,0.438,0.306,0.132,0.408,0.304,0.104,0.846,0.61,0.236,0.132,0.114,0.018
500,0.05,0.2,0.05,power_law,2.0,20,0.5,6,0,158,0.128,0.094,0.036,0.028,0.026,0.002,0.386,0.266,0.12,0.382,0.294,0.088,0.768,0.56,0.208,0.204,0.162,0.042
500,0.05,0.2,0.05,power_law,2.0,20,0.5,6,1,157,0.126,0.106,0.022,0.02,0.02,0.0,0.404,0.31,0.094,0.404,0.294,0.11,0.808,0.604,0.20400000000000001,0.172,0.128,0.044
500,0.05,0.2,0.05,power_law,2.0,20,0.5,6,2,165,0.16,0.118,0.044,0.03,0.03,0.0,0.388,0.276,0.112,0.414,0.308,0.106,0.802,0.5840000000000001,0.218,0.168,0.132,0.036
500,0.05,0.2,0.05,power_law,2.0,20,0.65,0,0,130,0.448,0.352,0.116,0.076,0.072,0.004,0.844,0.608,0.236,0.0,0.0,0.0,0.844,0.608,0.236,0.08,0.068,0.012
500,0.05,0.2,0.05,power_law,2.0,20,0.65,0,1,121,0.432,0.332,0.104,0.05,0.048,0.002,0.856,0.626,0.23,0.0,0.0,0.0,0.856,0.626,0.23,0.094,0.078,0.016
500,0.05,0.2,0.05,power_law,2.0,20,0.65,0,2,169,0.332,0.27,0.084,0.066,0.066,0.0,0.848,0.61,0.238,0.0,0.0,0.0,0.848,0.61,0.238,0.086,0.07,0.016
500,0.05,0.2,0.05,power_law,2.0,20,0.65,1,0,152,0.162,0.13,0.046,0.032,0.028,0.004,0.442,0.31,0.132,0.424,0.332,0.092,0.866,0.642,0.224,0.102,0.078,0.024
500,0.05,0.2,0.05,power_law,2.0,20,0.65,1,1,117,0.288,0.216,0.074,0.024,0.024,0.0,0.548,0.382,0.166,0.352,0.28,0.072,0.9,0.662,0.238,0.076,0.066,0.01
500,0.05,0.2,0.05,power_law,2.0,20,0.65,1,2,135,0.196,0.136,0.064,0.026,0.026,0.0,0.45,0.302,0.148,0.446,0.346,0.1,0.896,0.6479999999999999,0.248,0.078,0.072,0.006
500,0.05,0.2,0.05,power_law,2.0,20,0.65,2,0,147,0.206,0.186,0.03,0.038,0.036,0.002,0.508,0.41,0.098,0.37,0.238,0.132,0.878,0.6479999999999999,0.23,0.084,0.064,0.02
500,0.05,0.2,0.05,power_law,2.0,20,0.65,2,1,151,0.258,0.23,0.034,0.03,0.03,0.0,0.55,0.45,0.1,0.352,0.218,0.134,0.902,0.668,0.234,0.068,0.054,0.014
500,0.05,0.2,0.05,power_law,2.0,20,0.65,2,2,156,0.166,0.152,0.024,0.026,0.026,0.0,0.474,0.388,0.086,0.4,0.266,0.134,0.874,0.654,0.22,0.1,0.066,0.034
500,0.05,0.2,0.05,power_law,2.0,20,0.65,3,0,167,0.108,0.076,0.036,0.024,0.024,0.0,0.328,0.222,0.106,0.486,0.374,0.112,0.8140000000000001,0.596,0.218,0.162,0.128,0.034
500,0.05,0.2,0.05,power_law,2.0,20,0.65,3,1,136,0.15,0.124,0.028,0.022,0.022,0.0,0.466,0.368,0.098,0.408,0.276,0.132,0.874,0.644,0.23,0.104,0.086,0.018
500,0.05,0.2,0.05,power_law,2.0,20,0.65,3,2,157,0.186,0.144,0.044,0.036,0.036,0.0,0.42,0.306,0.114,0.45,0.328,0.122,0.87,0.634,0.236,0.094,0.076,0.018
500,0.05,0.2,0.05,power_law,2.0,20,0.65,4,0,151,0.26,0.184,0.084,0.04,0.038,0.002,0.548,0.354,0.194,0.326,0.284,0.042,0.8740000000000001,0.6379999999999999,0.23600000000000002,0.086,0.072,0.014
500,0.05,0.2,0.05,power_law,2.0,20,0.65,4,1,111,0.266,0.188,0.084,0.028,0.028,0.0,0.598,0.394,0.204,0.32,0.278,0.042,0.9179999999999999,0.672,0.246,0.054,0.052,0.002
500,0.05,0.2,0.05,power_law,2.0,20,0.65,4,2,157,0.24,0.156,0.09,0.03,0.03,0.0,0.49,0.292,0.198,0.392,0.352,0.04,0.882,0.6439999999999999,0.23800000000000002,0.088,0.072,0.016
